Team,Year,Player,GP,MIN,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,Position,Drafted,Height,Weight,stdyearposppg,stdyearposrpg,stdyearposapg,stdyearposspg,stdyearposbpg,stdyearpostpg,stdyearposfg,stdyearposft,stdyearpos3p,stdyearpossum
Virginia,2014,London Perrantes,37,29.9,5.5,2.2,3.8,0.9,0.1,1.1,0.384,0.86,0.437,G,N,74,191,-1.268649195,-0.72524302,0.533904046,-0.522568787,-0.482555925,-0.518465667,-1.443012227,1.217662147,0.993587108,-1.178410186
Michigan State,2014,Adreian Payne,31,28.1,16.4,7.3,1.3,0.5,0.9,2,0.503,0.79,0.423,PF,Y,82,245,1.398876358,-0.372525852,-0.136575436,-0.866307451,-0.623850294,1.64706421,-0.787656885,1.347694557,0.464167446,-1.223241767
Villanova,2014,Daniel Ochefu,34,21.7,5.7,6.1,1.4,0.7,1.5,1.9,0.594,0.554,0,F,N,83,245,-1.024366545,-0.011580994,0,-0.24602771,2.884146735,0.668215256,0.679444606,-1.316720588,-1.552885059,-1.256204811
Indiana,2013,Christian Watford,36,27.9,12.3,6.3,0.9,0.6,0.5,1.6,0.432,0.811,0.484,SF,N,81,232,-0.441155538,0.409834236,-1.212687049,-0.880696034,-0.447213595,-0.637888773,-0.697475691,0.347274491,1.001363188,-1.282867221
Baylor,2012,Perry Jones,33,30.7,13.5,7.6,1.3,0.8,0.6,1.7,0.5,0.696,0.303,SF,Y,83,235,0.107676532,0.578371134,-0.388778441,-0.622171017,-0.240345561,0.188681644,0.251183058,-0.709350051,-0.208045577,-1.420141567
Kentucky,2015,Tyler Ulis,37,23.8,5.6,1.8,3.6,1,0.1,1,0.406,0.808,0.429,G,N,69,155,-1.476191352,-1.248265777,0.64025487,-0.054728596,-0.78336663,-0.63471393,-0.832355129,0.566842935,1.088486768,-1.464608981
Villanova,2015,Dylan Ennis,36,28.1,9.9,3.7,3.5,1,0.4,1.8,0.417,0.619,0.363,G,N,74,192,0.187748609,0.778191006,0.566379308,-0.054728596,1.082889165,0.997407605,-0.58112599,-2.06279297,-0.386557658,-1.467404729
San Diego State,2011,D.J. Gay,37,35.2,11.1,2.2,3.1,1.1,0.1,1.3,0.373,0.684,0.358,G,N,72,170,0.564387389,-0.628144265,0.711470931,0.081084276,-0.358419335,-0.163907509,-1.415448103,-0.64989213,0.035344677,-1.495709051
Syracuse,2012,Kris Joseph,37,32.2,13.4,4.7,1.5,1.4,0.6,1.5,0.421,0.745,0.345,SF,Y,79,210,0.079109289,-0.792986838,-0.142236015,0.311085508,-0.240345561,-0.161727124,-1.331424305,0.306056651,0.113747298,-1.535266849
Louisville,2013,Wayne Blackshear,39,20.1,7.6,3.1,0.6,0.9,0.3,0.6,0.423,0.694,0.324,G,N,77,215,-0.512615667,-0.181316333,-1.664227283,-0.48294653,0.902772226,-1.680884846,-0.024077794,-0.549296911,-0.76510591,-1.595929357
Villanova,2015,JayVaughn Pinkston,36,25.9,9.7,5.4,1.1,0.8,0.8,1.7,0.453,0.777,0,F,N,79,235,-0.199317763,-0.461320329,-0.191179778,0.592532353,-0.010234277,0.358560242,-1.119609859,0.967320111,-0.823136797,-1.603506582
Iowa State,2015,Naz Long,34,27.5,10.1,2.9,2,0.8,0.1,1.4,0.449,0.755,0.391,G,N,76,210,0.265141165,-0.075053955,-0.541754121,-0.547285955,-0.78336663,0.181346837,0.149722417,-0.170568192,0.239218765,-1.645293344
Villanova,2015,Ryan Arcidiacono,36,30.4,10.1,1.7,3.6,1.1,0.1,1.3,0.394,0.813,0.372,G,N,75,195,0.265141165,-1.354921397,0.64025487,0.191550084,-0.78336663,-0.022668355,-1.106423282,0.636410022,-0.185415236,-1.674102049
Kansas,2012,Tyshawn Taylor,39,33.4,16.6,2.3,4.8,1.3,0.2,3.5,0.477,0.688,0.382,PG,Y,75,185,1.779211998,-1.40094437,-0.477463423,-0.47080113,-0.133630621,1.347403273,0.758188828,-1.042753927,0.652900226,-1.682695692
Gonzaga,2015,Domantas Sabonis,38,21.6,9.7,7.1,0.9,0.4,0.3,1.6,0.668,0.664,0,F,N,82,231,-0.199317763,0.909204144,-0.420595512,-1.540584117,-0.93131922,0.168734232,1.6543275,-0.204525693,-0.823136797,-1.72468169
Kentucky,2011,Brandon Knight,38,35.9,17.3,4,4.2,0.7,0.2,3.2,0.423,0.795,0.377,PG,Y,75,189,0.366213358,0.651736646,-0.007871332,-1.412636485,0.232210182,1.207952095,-0.398083448,0.167500548,-0.126691925,-1.735574552
North Carolina,2012,Dexter Strickland,19,24.3,7.5,2.1,2.1,1.3,0.2,1.4,0.57,0.667,0,G,N,75,185,-0.375046027,-0.937021754,-0.296733671,0.856556968,0.346227021,-0.356147626,2.573037114,-0.815242427,-3.448913178,-1.740988327
Kansas,2011,Tyshawn Taylor,36,27.1,9.3,1.9,4.6,1,0.3,2.7,0.479,0.719,0.38,PG,N,75,185,-0.702372731,-1.327030038,0.369952608,-0.675608754,0.928840728,0.374881685,0.84039839,-0.923645878,-0.05192292,-1.91627028
Kentucky,2012,Darius Miller,40,26.1,9.9,2.8,2.1,0.8,0.3,1.5,0.474,0.797,0.376,SF,Y,80,225,-0.920744223,-1.691462751,0.597391263,-0.622171017,-0.909879625,-0.161727124,-0.269675062,1.383631111,0.351261087,-1.919922094
Duke,2011,Andre Dawkins,37,21,8.1,1.9,0.6,0.6,0.1,0.8,0.481,0.791,0.427,SG,N,77,219,-0.702751085,-0.984497881,-1.261286495,-0.916889456,-1.08012345,-1.127444812,0.777665263,0.570140201,0.440011283,-2.030286807
Louisville,2013,Russ Smith,40,30.3,18.7,3.3,2.9,2.1,0.1,2.7,0.414,0.804,0.328,PG,N,72,165,1.157122076,0.034478659,-1.213972861,0.534522484,-0.857910096,1.135549948,-0.581432231,0.234902921,-0.205095836,-2.032934831
Michigan,2013,Glenn Robinson III,39,33.6,11,5.4,1.1,1,0.3,0.8,0.572,0.676,0.324,SG,N,79,222,-0.528119664,0.991399228,-1.273479253,-0.117049165,-0.082849302,-1.123092764,1.419667152,-1.471386988,-2.115291382,-2.054016611
Duke,2014,Amile Jefferson,35,22.7,6.5,6.9,1,0.7,0.6,0.7,0.644,0.494,0,F,N,81,225,-0.853089824,0.590630694,-0.499350227,-0.24602771,-0.128756551,-1.336430511,1.304995589,-2.023076887,-1.552885059,-2.071129463
Gonzaga,2015,Przemek Karnowski,38,24.5,10.9,5.8,1.3,0.5,1,1.8,0.622,0.504,1,C,N,85,288,-0.389709918,-0.763381021,0.044437862,-0.674199862,-0.712832436,0.32349832,0.719955335,-1.130781649,1.837144057,-2.09922836
Michigan State,2013,Gary Harris,34,29.7,12.9,2.5,1.4,1.3,0.2,1.5,0.456,0.755,0.411,SG,Y,76,210,0.086223619,-0.999025376,-0.571766195,0.515016324,-0.455671162,0.140386595,-0.390018448,-0.345277033,0.172378718,-2.12852615
Kansas,2014,Naadir Tharpe,34,29.4,8.5,2.1,5,0.7,0,2.1,0.436,0.821,0.377,G,N,71,170,-0.346425176,-0.792828391,1.410630689,-0.975461735,-1.080006117,1.30317046,0.200587209,0.75951394,-0.0161822,-2.143342241
Duke,2011,Ryan Kelly,37,20.1,6.6,3.7,0.8,0.7,1.4,0.8,0.516,0.805,0.319,PF,N,83,230,-1.26653559,-2.192402934,-1.351557413,-0.683836859,0.203331427,-1.529823559,-0.603165352,1.566763412,0.624303233,-2.173276516
Texas,2011,Gary Johnson,36,30.3,11.5,6.8,1.3,0.4,0.3,1.6,0.466,0.655,0.25,F,N,78,238,0.225985582,1.29467775,-0.783986063,-0.623850294,-0.510753918,0.436223867,-0.695787925,-0.350529145,-0.357208482,-2.237676363
Iowa State,2015,Dustin Hogue,34,26.2,9.3,4.9,1.1,0.7,0.3,1.6,0.557,0.55,0.431,F,N,78,220,-0.307219109,-0.864415763,-0.191179778,0.059253235,-0.93131922,0.168734232,0.222201701,-1.386741815,1.311186488,-2.256968492
Indiana,2013,Yogi Ferrell,36,28.1,7.6,2.8,4.1,0.8,0.2,2.1,0.403,0.798,0.303,G,N,72,178,-0.512615667,-0.504745468,0.977947991,-0.778080521,0.217910537,0.899077941,-0.528564903,0.972242232,-1.237040397,-2.292024136
Wisconsin,2015,Bronson Koenig,40,28.8,8.7,1.8,2.5,0.2,0.2,0.8,0.414,0.812,0.405,G,N,76,190,-0.276606729,-1.248265777,-0.172376311,-2.024958035,-0.161281365,-1.042744314,-0.649643028,0.622496605,0.552106976,-2.31578335
Virginia,2015,Darion Atkins,33,23.9,7.6,6,0.7,0.8,1.1,1.1,0.511,0.52,0,F,N,80,234,-0.765799827,0.022394191,-0.650011246,0.592532353,0.542416688,-0.780395821,-0.371291874,-1.69785132,-0.823136797,-2.370352011
Michigan,2014,Derrick Walton Jr.,37,26.7,7.9,3,2.9,0.6,0,1.5,0.429,0.793,0.41,G,N,72,185,-0.53086998,-0.184560052,-0.123640937,-1.201908209,-1.080006117,0.210188784,-0.020666561,0.430587023,0.539190919,-2.382062698
Marquette,2012,Vander Blue,35,25.7,8.4,4.5,2.6,1.1,0.2,2.2,0.413,0.708,0.258,SG,N,76,200,-1.208218891,1.302973334,0.773544942,0.270281239,0.526640075,0.69781188,-0.914411446,-0.728366852,-1.715733943,-2.391103422
Marquette,2012,Vander Blue,35,25.7,8.4,4.5,2.6,1.1,0.2,2.2,0.413,0.708,0.258,SG,N,76,200,-1.208218891,1.302973334,0.773544942,0.270281239,0.526640075,0.69781188,-0.914411446,-0.728366852,-1.715733943,-2.391103422
Duke,2014,Rasheed Sulaimon,34,25.6,9.9,2.4,2.4,0.8,0,1.1,0.402,0.768,0.41,G,N,77,195,0.083946032,-0.590072278,-0.488943705,-0.749015261,-1.080006117,-0.518465667,-0.87407396,0.136902275,0.539190919,-2.503606428
New Mexico,2013,Tony Snell,35,31.2,12.5,2.6,2.9,0.8,0.5,2.1,0.422,0.843,0.39,SF,Y,79,200,-0.383434253,-1.389268596,1.113014141,-0.482962341,-0.447213595,1.079504077,-0.931079989,0.643052003,0.446736102,-2.510660605
New Mexico,2013,Tony Snell,35,31.2,12.5,2.6,2.9,0.8,0.5,2.1,0.422,0.843,0.39,SF,Y,79,200,-0.383434253,-1.389268596,1.113014141,-0.482962341,-0.447213595,1.079504077,-0.931079989,0.643052003,0.446736102,-2.510660605
Duke,2011,Mason Plumlee,37,25.6,7.2,8.4,1.6,0.9,1.7,1.9,0.593,0.441,0,PF,N,83,235,-1.124641561,0.334535597,0.386159261,0.435168911,0.75232628,0.544868665,0.895019555,-2.144528662,-1.509476031,-2.520305315
North Carolina,2012,Harrison Barnes,38,29.2,17.1,5.2,1.1,1.1,0.3,1.9,0.44,0.723,0.358,SF,Y,80,225,1.136097287,-0.556545808,-0.635320867,-0.155542754,-0.909879625,0.539090412,-0.950797218,-0.149840236,0.213349855,-2.547569778
Pittsburgh,2011,Gary McGhee,34,23,6.9,7.7,0.3,0.3,1.3,0.7,0.567,0.485,0,C,N,83,250,-1.340451443,-0.386526054,-1.070619641,-1.3,-0.760354734,-1.321156518,0.951822044,-0.490308256,-0.5,-2.58497331
Gonzaga,2013,Gary Bell Jr.,34,28.6,9,2.2,2.1,0.8,0,1.3,0.42,0.723,0.392,G,N,74,214,-0.04824618,-1.151603737,-0.531866451,-0.778080521,-1.151812841,-0.476902212,-0.09975086,-0.125021573,0.763062904,-2.646417048
Michigan State,2013,Branden Dawson,36,26.9,8.9,5.9,1.3,1.6,0.9,2,0.531,0.538,0,SF,Y,79,220,-1.42241739,0.215336632,-0.747546811,1.10797243,1.341640786,0.736025507,1.615206863,-2.176077416,-1.854376274,-2.656286686
Kansas,2013,Elijah Johnson,37,31,9.9,3.1,4.6,0.9,0.2,3.1,0.382,0.763,0.331,G,N,76,195,0.250277061,-0.181316333,1.355401602,-0.48294653,0.217910537,2.619053132,-1.058276368,0.46018579,-0.607794415,-2.665611787
Missouri,2012,Matt Pressey,35,24.9,6.2,3,1.5,0.8,0.1,0.9,0.401,0.679,0.347,G,N,74,195,-0.754067806,-0.004708652,-0.727160535,-0.825965648,-0.500105697,-1.207804994,-0.588414304,-0.687361262,0.191208929,-2.688769981
Syracuse,2012,C.J. Fair,37,26.4,8.5,5.4,0.9,1.1,0.5,0.8,0.464,0.743,0.25,SF,N,80,215,-1.320685628,-0.461969397,-0.881863292,-0.155542754,-0.463523582,-1.388157811,-0.470005108,0.26461148,-0.614117538,-2.714938008
Duke,2015,Amile Jefferson,39,21.3,6.1,5.8,0.8,0.6,0.7,1.1,0.631,0.554,0,F,N,81,225,-1.170429873,-0.138843983,-0.535303379,-0.474025882,-0.194451266,-0.780395821,1.176952233,-1.345260547,-0.823136797,-2.724103672
Miami (FL),2013,Trey McKinney Jones,36,30.3,9.2,3.4,1.6,0.8,0,0.9,0.413,0.851,0.393,SG,N,77,200,-1.110129089,-0.381307396,-0.10395749,-0.538426157,-1.201314881,-0.942595712,-1.060850179,1.023160381,-0.300932338,-2.731161436
Duke,2013,Tyler Thornton,36,22,3.6,2.3,2.2,1.3,0.1,1.1,0.406,0.68,0.392,G,N,74,190,-1.83938563,-1.043794026,-0.456375729,0.697589432,-0.466951152,-0.82089725,-0.452891837,-0.754119488,0.763062904,-2.731968275
Louisville,2013,Peyton Siva,40,31.2,10,2.4,5.7,2.3,0.2,2.7,0.404,0.867,0.288,PG,Y,72,185,-1.079980605,-1.827368935,0.747060222,1.069044968,-0.389959134,1.135549948,-0.904450137,1.765821956,-1.05376826,-2.809149872
Arizona,2014,Rondae Hollis-Jefferson,38,25.3,9.1,5.7,1.4,0.7,1.1,1.2,0.49,0.682,0.2,SF,N,79,220,-1.435669279,-0.345324809,-0.193995898,-1.420093894,0.738271661,-1.331559103,-0.161538581,-0.814081569,-0.521591901,-2.822465168
Michigan State,2013,Keith Appling,36,33.6,13.4,3.4,3.3,1.3,0.6,2.3,0.415,0.749,0.32,PG,N,73,185,-0.205710591,0.241350614,-0.933825278,-1.603567451,1.481844711,-0.162221421,-0.54913044,-1.101613698,-0.374830321,-2.883261033
Duke,2012,Austin Rivers,34,33.2,15.5,3.4,2.1,1,0,2.3,0.433,0.658,0.365,SG,Y,76,200,0.713611972,0.244854049,0.098227929,0.022523437,-1.404373534,0.839958745,-0.349325721,-1.367285144,-0.198514671,-3.080240428
Duke,2012,Ryan Kelly,31,25.9,11.8,5.4,1.1,0.8,1,1.4,0.444,0.807,0.408,PF,N,83,230,-0.608163641,-1.126327167,-1.18539117,-0.879833588,-0.480526714,-0.726273039,-1.112876883,0.979870123,0.601282314,-3.085693687
Louisville,2014,Luke Hancock,36,23.9,12.3,2.6,2.2,1,0.2,1.5,0.408,0.829,0.345,SG,N,78,200,-0.569275557,-1.445891782,-0.07708479,0.157485197,-0.998700454,-0.248547906,-1.090366677,0.975962068,-0.290084324,-3.089408413
Florida State,2012,Okaro White,35,22.6,7.7,4.4,0.5,0.6,0.4,1.5,0.476,0.752,0.333,F,N,81,204,-0.377404174,-0.377404174,-1.015129452,-0.866025404,-1.375423951,0.665410463,-0.339461055,1.436857662,0.452830014,-3.126570997
Connecticut,2011,Alex Oriakhi,41,29.1,9.6,8.7,0.4,0.4,1.6,1.1,0.507,0.63,0,SF,N,81,255,-1.201450691,0.649970611,-1.704231132,-1.326806944,0.932134834,-1.454436185,1.608322325,-1.654912215,-1.922860309,-3.165397335
Syracuse,2012,Fab Melo,30,25.4,7.8,5.8,0.7,0.5,2.9,1.4,0.566,0.633,0,C,Y,84,255,-0.748870661,-1.309565664,-0.806542128,-1.518196947,0.528835913,-0.460359562,0.193473987,-0.176864396,,-3.200505938
Marquette,2012,Junior Cadougan,34,28.6,6.3,2.1,5.4,1.1,0.2,2.6,0.384,0.686,0.237,G,N,73,205,-0.724912285,-0.937021754,2.070614081,0.183547922,0.346227021,1.687830055,-0.906430127,-0.612763916,-0.962720269,-3.231289382
Marquette,2012,Junior Cadougan,34,28.6,6.3,2.1,5.4,1.1,0.2,2.6,0.384,0.686,0.237,G,N,73,205,-0.724912285,-0.937021754,2.070614081,0.183547922,0.346227021,1.687830055,-0.906430127,-0.612763916,-0.962720269,-3.231289382
North Carolina,2011,Harrison Barnes,37,29.4,15.7,5.8,1.4,0.7,0.4,1.9,0.423,0.75,0.344,SF,N,80,225,0.779319367,-0.712618381,-0.303493215,-0.40824829,-0.881749167,0.661107357,-1.049364402,-0.341200203,0.334695822,-3.243765827
North Carolina,2011,Dexter Strickland,37,27,7.5,3.1,2.2,1.2,0,1.5,0.456,0.686,0.25,G,N,75,185,-0.475780495,0.228416096,-0.392535686,0.254836295,-1.126460766,0.382450855,0.612437844,-0.62830103,-1.361201116,-3.271039712
North Carolina,2011,Kendall Marshall,37,24.6,6.2,2.1,6.2,1.1,0.1,2.5,0.418,0.69,0.377,PG,N,76,200,-1.116449841,-1.138576068,1.881248366,-0.429932843,-0.464420364,0.041653521,-0.508662183,-1.340004382,-0.126691925,-3.285142761
Georgetown,2013,Jabril Trawick,32,26.6,5.8,2.9,1.9,1.1,0.3,1.7,0.407,0.721,0.299,G,N,77,220,-1.109662151,-0.396935756,-0.682847896,0.107321451,0.902772226,0.211087864,-0.427667481,-0.154281941,-1.32693268,-3.299322092
Connecticut,2011,Roscoe Smith,41,25.4,6.3,5.2,0.5,0.5,1.2,0.9,0.383,0.787,0.301,SG,N,80,215,-1.17785041,0.65014011,-1.368630026,-1.178857872,1.890216037,-0.896174082,-1.710863579,0.513303794,-1.846232907,-3.332600771
Miami (FL),2013,Kenny Kadji,36,29.1,12.9,6.8,0.8,0.4,1.3,1.8,0.471,0.661,0.351,PF,N,82,242,0.046472603,-0.175686611,-0.845540965,-1.725163898,0.36147202,0.083691288,-0.574918068,-1.308557107,0.900806916,-3.404806399
San Diego State,2011,James Rahon,37,21.6,7,1.6,0.8,0.4,0,0.5,0.427,0.692,0.434,G,N,77,205,-0.620248256,-1.199184506,-2.109879313,-1.13517986,-1.126460766,-2.349340968,-0.096100619,-0.563527728,1.018099125,-3.483140954
Marquette,2012,Todd Mayo,35,21.1,7.9,2.7,1.2,0.6,0.1,1.6,0.419,0.762,0.333,G,N,75,195,-0.258423941,-0.315479686,-0.942373967,-1.498974694,-0.500105697,-0.015484679,-0.251691667,0.197150129,0.044345213,-3.510069631
Marquette,2012,Todd Mayo,35,21.1,7.9,2.7,1.2,0.6,0.1,1.6,0.419,0.762,0.333,G,N,75,195,-0.258423941,-0.315479686,-0.942373967,-1.498974694,-0.500105697,-0.015484679,-0.251691667,0.197150129,0.044345213,-3.510069631
Michigan State,2013,Denzel Valentine,36,20.8,5,4.1,2.4,0.8,0.3,2,0.445,0.667,0.281,G,N,77,220,-1.375016143,0.896780783,-0.305394285,-0.778080521,0.902772226,0.727080422,0.530858026,-0.944311881,-1.731447954,-3.53092017
Michigan State,2014,Keith Appling,35,31.5,11.2,3,4.5,1.2,0.4,2.1,0.452,0.66,0.362,PG,N,73,185,-0.707106781,-0.707106781,-0.707106781,-0.707106781,0.707106781,-0.707106781,-0.707106781,-0.707106781,-0.707106781,-3.535533906
Arizona,2014,Kaleb Tarczewski,36,28.3,9.9,6.3,0.5,0.1,1,1.8,0.584,0.756,0,C,N,84,245,-0.707106781,-0.707106781,-0.707106781,-0.707106781,-0.707106781,-0.707106781,-0.707106781,0.707106781,-0.707106781,-3.535533906
Villanova,2014,Ryan Arcidiacono,34,31.1,9.9,2.4,3.5,1.1,0,1.4,0.395,0.703,0.345,G,N,75,195,0.083946032,-0.590072278,0.314722385,-0.069675838,-1.080006117,0.028025171,-1.095327731,-0.62667807,-0.554725832,-3.645842619
Gonzaga,2015,Gary Bell Jr.,38,27.8,8.2,2.4,2,0.8,0.1,0.9,0.404,0.75,0.361,G,N,74,214,-0.47008812,-0.608332056,-0.541754121,-0.547285955,-0.78336663,-0.838729122,-0.878033155,-0.24013528,-0.431255974,-3.661522169
Florida,2014,Dorian Finney-Smith,37,25.8,8.7,6.7,2.1,0.4,0.4,1.6,0.37,0.643,0.293,F,N,80,218,-0.38207884,0.440077772,0.873862898,-1.445412799,-0.798290614,0.167053814,-2.123023798,-0.268958745,0.133243558,-3.737634382
BYU,2011,Brandon Davies,29,24.9,11.1,6.2,1.5,0.7,0.9,1.5,0.525,0.674,0,PF,N,82,240,-0.202330374,-0.848286694,0.168944677,-0.683836859,-0.711659995,-0.209564871,-0.428052831,0.2311061,-1.509476031,-3.774027136
Florida,2014,Patric Young,39,26.3,11,6.2,0.8,0.6,1.1,1.3,0.541,0.596,0,PF,N,81,240,-0.620891645,-1.577756548,-1.27470407,-0.685826732,0.415900196,-0.859337849,0.053100464,0.05465428,-1.003267752,-3.77945396
North Carolina,2012,Reggie Bullock,38,25.4,8.8,5.1,1.4,0.7,0.2,1,0.428,0.727,0.382,SF,N,79,205,-1.234983898,-0.603834014,-0.265507228,-0.777713771,-1.133057646,-1.037749043,-1.191193273,-0.066949892,0.397231498,-3.838259182
Northern Iowa,2015,Deon Mitchell,35,20.7,7.5,2,2.5,1,0.1,1.7,0.411,0.706,0.439,G,N,73,196,-0.740962067,-1.034954536,-0.172376311,-0.054728596,-0.78336663,0.793392413,-0.718160066,-0.852325649,1.311978347,-3.838287921
Duke,2012,Mason Plumlee,34,28.4,11.1,9.2,1.6,0.8,1.6,2.2,0.572,0.528,0,PF,N,83,235,-0.844671723,0.342315119,0.889043377,-0.879833588,-0.051119863,0.726273039,0.873453171,-1.707891605,-1.773907574,-3.878885725
Georgetown,2013,D'Vauntes Smith-Rivera,32,25.5,8.9,3,1.4,0.8,0,1.2,0.404,0.711,0.336,G,N,75,214,-0.08141543,-0.289126045,-1.060301506,-0.778080521,-1.151812841,-0.648899731,-0.503340548,-0.300583782,-0.495429061,-4.011190001
Kentucky,2015,Alex Poythress,8,20.3,5.5,3.8,0.3,0.5,1.5,1,0.381,0.857,0,F,N,80,238,-1.332281891,-1.751225717,-1.108842714,-1.007305,1.279284642,-0.970221832,-2.048556323,1.796945459,-0.823136797,-4.024896508
Baylor,2012,Quincy Miller,37,24.4,10.6,4.9,1.4,0.7,0.6,1.8,0.447,0.816,0.348,PF,Y,81,210,-1.013606068,-1.319569573,0.059269558,-1.242118007,-0.766797949,0,-1.066322273,1.066572114,0.251989683,-4.030582512
Kentucky,2015,Devin Booker,38,21.5,10,2,1.1,0.4,0.1,1,0.47,0.828,0.411,SG,Y,78,205,-1.474173029,-1.05362438,-1.238278375,-1.229837388,-1.114564274,-0.629858168,0.378434451,0.925846532,0.135634974,-4.04070332
Pittsburgh,2011,Tray Woodall,34,21.6,6.4,2.3,3.4,0.8,0.1,1.5,0.364,0.728,0.293,G,N,72,190,-0.79360957,-0.532970891,1.079473137,-0.440171782,-0.358419335,0.382450855,-1.63533935,-0.174887915,-0.805168995,-4.043545558
Notre Dame,2011,Eric Atkins,34,25.4,5.8,1.8,3.2,0.6,0,1.3,0.407,0.697,0.348,G,N,74,182,-0.966970884,-1.008837759,0.834138333,-0.787675821,-1.126460766,-0.163907509,-0.584747835,-0.509549976,-0.093965118,-4.080162317
Kansas,2015,Kelly Oubre Jr.,36,21,9.3,5,0.8,1.1,0.4,1.2,0.444,0.718,0.358,SF,Y,79,205,-1.475265426,-0.258736992,-1.368234182,-0.246494409,-0.415900196,-0.43825049,-0.69645513,-0.434174387,0.376826734,-4.080183497
Kansas,2014,Wayne Selden Jr.,35,29.2,9.7,2.6,2.5,0.7,0.3,1.9,0.437,0.629,0.328,G,N,77,230,0.022464431,-0.454901536,-0.415883151,-0.975461735,0.71234446,0.938843235,0.232194891,-1.495984923,-0.840827136,-4.154897934
Kentucky,2015,Aaron Harrison,39,25.8,11,2.6,1.4,1.1,0.2,0.9,0.395,0.782,0.316,SG,N,78,210,-0.586116987,-0.800754529,-0.430705522,0.726722093,-0.849191828,-0.916157335,-1.739668819,0.276624879,-1.705125391,-4.19205877
Kentucky,2015,Andrew Harrison,39,25.5,9.3,2.2,3.6,1,0.2,1.6,0.378,0.792,0.383,PG,Y,78,210,-0.884490309,-1.067489992,-1.081684097,-1.109400392,-0.320256308,-1,-0.919280805,-0.474047306,0.629750454,-4.226898756
Kentucky,2012,Marquis Teague,40,32.6,10,2.5,4.8,0.9,0.3,2.7,0.412,0.714,0.325,PG,Y,74,189,-0.430454516,-0.856132671,-0.477463423,-1.164613323,0.801783726,-0.13209836,-1.295239248,-0.543329678,-0.474836528,-4.308187301
Florida,2014,Will Yeguete,39,23.3,4.9,5.2,1.2,0.9,0.2,1.2,0.436,0.663,0.19,F,N,80,230,-1.195643267,-0.689069143,-0.249675114,0.553562348,-1.467824677,-0.501161442,-1.2972965,-0.033506645,-0.459491075,-4.337782631
Duke,2012,Miles Plumlee,34,20.5,6.6,7.1,0.5,0.5,0.9,1.2,0.61,0.632,0,C,Y,83,255,-1.384081113,-0.528863057,-1.734329151,-1.54982605,-1.500750563,-1.372553509,0.987358476,-0.348428032,,-4.337937948
Louisville,2013,Luke Hancock,40,22.4,8.1,2.6,1.4,1,0.1,1,0.429,0.761,0.399,SG,N,78,200,-1.465801516,-0.930390045,-0.571766195,-0.117049165,-0.828493021,-0.762098661,-0.811238372,-0.259749694,-0.143161986,-4.365551334
Kansas,2012,Conner Teahan,39,21,5.5,2.1,1.1,0.7,0,0.9,0.364,0.839,0.336,G,N,78,212,-0.958156457,-0.937021754,-1.014111778,-1.162470171,-1.346438415,-1.207804994,-1.280566389,1.017720938,0.075816009,-4.397423024
Kansas,2015,Wayne Selden Jr.,36,29.4,9.4,2.8,2.6,0.6,0.5,2.1,0.382,0.657,0.365,G,N,77,230,-0.005732782,-0.181709575,-0.098500749,-1.039843315,1.704974431,1.60945318,-1.380491434,-1.534083106,-0.341859342,-4.486699053
Virginia,2015,London Perrantes,32,33.3,6.4,2.6,4.6,0.8,0.2,1.5,0.354,0.778,0.316,G,N,74,191,-1.166621127,-0.395020815,1.37901049,-0.547285955,-0.161281365,0.385362029,-2.01998379,0.14944041,-1.436968083,-4.584072264
Connecticut,2011,Shabazz Napier,41,23.8,7.8,2.4,3,1.6,0.1,1.8,0.37,0.771,0.326,PG,Y,73,175,-0.902732623,-0.855895113,-1.141343151,0.798446709,-0.464420364,-1.124645054,-1.570218044,-0.177072008,-1.397765007,-4.586354546
Wisconsin,2015,Traevon Jackson,21,24.1,8.1,1.7,2.6,0.9,0.1,1.5,0.432,0.851,0.282,G,N,74,208,-0.508784398,-1.354921397,-0.098500749,-0.301007275,-0.78336663,0.385362029,-0.238540799,1.165119887,-2.196839453,-4.702202845
Duke,2015,Matt Jones,39,21.7,6,2.3,1,0.9,0.1,0.7,0.41,0.714,0.376,G,N,77,200,-1.321406239,-0.714987676,-1.280509741,-0.301007275,-0.78336663,-1.246759506,-0.740999079,-0.741018309,-0.096018605,-4.732554049
Kansas,2015,Jamari Traylor,35,20.4,4.8,3.7,0.9,0.8,1.1,1.5,0.486,0.6,0,F,N,80,220,-1.521109246,-1.831844803,-0.420595512,0.592532353,0.542416688,-0.021091779,-0.69384273,-0.868225972,-0.823136797,-5.00271424
New Mexico,2013,Cameron Bairstow,35,24.1,9.7,5.9,0.9,0.7,0.6,1.2,0.456,0.738,0,PF,Y,81,250,-0.994513703,-0.729099436,-0.62632664,-0.276026224,-1.409740876,-0.795067238,-0.820309926,-0.148504014,-0.797798297,-5.007251878
New Mexico,2013,Cameron Bairstow,35,24.1,9.7,5.9,0.9,0.7,0.6,1.2,0.456,0.738,0,PF,N,81,250,-0.994513703,-0.729099436,-0.62632664,-0.276026224,-1.409740876,-0.795067238,-0.820309926,-0.148504014,-0.797798297,-5.007251878
