Team,Year,Player,GP,MIN,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,Position,Drafted,Height,Weight,stdyearposppg,stdyearposrpg,stdyearposapg,stdyearposspg,stdyearposbpg,stdyearpostpg,stdyearposfg,stdyearposft,stdyearpos3p,stdyearpossum
Iowa State,2015,Jameel McKay,25,27.2,11,7.6,0.6,0.8,2.4,1.2,0.583,0.598,0,F,N,81,215,0.15136161,1.312299578,-0.764719113,0.592532353,2.937237539,-0.590569811,0.55765459,-0.888966606,-0.823136797,3.664832965
Missouri,2012,Michael Dixon Jr.,35,26.7,13.5,1.8,3.3,1.2,0.1,1.6,0.487,0.879,0.368,G,N,73,200,1.374285264,-1.247792788,0.564120057,0.520052445,-0.500105697,-0.015484679,1.020371625,1.443991488,0.411504503,3.601911575
Notre Dame,2011,Carleton Scott,30,31.2,11.2,7.4,2.1,0.8,1.9,1.4,0.455,0.889,0.359,SF,N,80,218,-0.681904446,0.039154856,0.677023326,-0.102062073,1.385605835,-0.661107357,-0.036912316,1.18051621,0.433135769,3.555664519
Wisconsin,2015,Nigel Hayes,40,33,12.4,6.2,2,0.9,0.4,1.3,0.497,0.744,0.396,F,N,80,235,0.529016319,0.183632364,0.841191024,1.12581147,-0.747102231,-0.4007438,-0.551920353,0.625099655,1.137865572,3.54433762
Kansas,2014,Joel Embiid,28,23.1,11.2,8.1,1.4,0.9,2.6,2.4,0.626,0.685,0.2,C,Y,84,250,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,-0.707106781,0.707106781,3.535533906
Louisville,2014,Russ Smith,37,29.3,18.2,3.3,4.6,2,0.1,2.8,0.468,0.705,0.387,PG,Y,72,165,0.707106781,0.707106781,0.707106781,0.707106781,-0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,3.535533906
Gonzaga,2013,Kevin Pangos,35,32.2,11.9,2.7,3.3,1.5,0,1.5,0.426,0.807,0.417,G,N,74,182,0.913662042,-0.612555179,0.374022214,1.287857413,-1.151812841,-0.132907174,0.051595273,1.103913889,1.324889674,3.424479659
Pittsburgh,2011,Ashton Gibbs,31,32.8,16.8,2.4,2.8,0.4,0,1.6,0.468,0.889,0.49,G,N,74,190,2.211319871,-0.437797518,0.343468725,-1.13517986,-1.126460766,0.655630038,0.905626174,1.563195689,1.742233981,3.410776258
Ohio State,2012,William Buford,39,33.8,14.5,5,2.7,0.8,0.2,2.2,0.419,0.832,0.358,G,N,78,220,1.665840479,2.067098242,0.133693193,-0.825965648,0.346227021,1.006504161,-0.251691667,0.943123592,0.306601849,3.378422898
Notre Dame,2015,Pat Connaughton,38,35.6,12.5,7.4,1.5,0.7,0.9,1.2,0.466,0.781,0.423,SG,Y,77,206,0.745967075,1.222204281,-0.161514571,-0.391311896,1.008415296,-0.057259833,0.265468943,0.262511364,0.368152073,3.377152399
Duke,2013,Ryan Kelly,23,28.9,12.9,5.3,1.7,0.7,1.6,1,0.453,0.812,0.422,PF,Y,83,230,0.046472603,-1.098041319,1.127387953,-0.276026224,1.120563261,-1.087986747,-0.869388298,0.966352206,1.244399423,3.349706352
Notre Dame,2011,Tim Abromaitis,34,34.2,15.4,6.1,1.8,0.8,0.4,1.5,0.456,0.784,0.429,F,N,80,236,1.64750779,0.264820449,0.149330679,1.455650686,-0.340502612,0.124635391,-0.974103095,0.741699351,0.525945086,3.345712942
Ohio State,2012,Aaron Craft,39,32.2,8.8,3.2,4.6,2.5,0.2,2.2,0.5,0.713,0.359,PG,N,74,195,-0.832212064,1.050708278,-0.578743543,1.610635446,-0.133630621,-1.056786881,1.484786455,-0.562538302,0.197848553,3.293641083
Kansas,2011,Brady Morningstar,38,27.6,7.1,2.2,3.3,1.4,0.2,1.2,0.488,0.743,0.41,G,N,76,185,-0.591354704,-0.628144265,0.956805735,0.602340334,0.409622097,-0.437086692,1.39427339,-0.01295466,0.707755615,3.275430233
Kansas,2013,Jeff Withey,37,30.9,13.7,8.5,0.9,0.8,3.9,2,0.582,0.714,1,C,Y,84,222,0.447120604,0.504194202,-0.262649096,0.374634325,1.74026535,0.271163072,0.735642522,0.13512506,1.91946404,3.268044834
Kansas,2012,Thomas Robinson,39,31.8,17.7,11.9,1.8,1.1,0.9,2.7,0.505,0.682,0.5,PF,Y,82,237,1.385261626,1.385824112,1.718817196,0.207019668,-0.552094523,1.634114338,-0.166266467,-0.2243242,1.136864348,3.256987422
Notre Dame,2011,Ben Hansbrough,34,35.4,18.4,3.9,4.3,1.2,0.1,2.4,0.479,0.815,0.435,PG,N,75,203,0.513143945,0.557509661,0.086584653,-0.184256933,-0.464420364,-0.124960562,0.84039839,0.454644344,1.318842168,3.247406425
Miami (FL),2013,Shane Larkin,36,36.4,14.5,3.8,4.6,2,0.1,2.3,0.479,0.777,0.406,PG,Y,71,175,0.077141472,1.068838433,-0.023345632,0.267261242,-0.857910096,-0.162221421,1.518184158,-0.421205237,1.449815391,3.241001153
Duke,2015,Justise Winslow,39,29.1,12.6,6.5,2.1,1.3,0.9,1.8,0.486,0.641,0.418,SG,Y,78,220,0.834772679,0.842899504,1.453631136,1.285739087,1.008415296,1.66053517,0.830296482,-1.713380625,0.271269949,3.153108337
Iowa State,2014,Dustin Hogue,36,29.9,11.6,8.4,1,0.8,0.6,1,0.573,0.664,0.344,F,N,78,220,0.238799275,1.71977761,-0.499350227,0.153767319,-0.128756551,-0.83526907,0.416713193,-0.02173404,0.426733522,3.141219172
