Team,Year,Rank,Player,GP,MIN,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,Position,Drafted,Height,Weight
Virginia,2015,6,London Perrantes,32,33.3,6.4,2.6,4.6,0.8,0.2,1.5,0.354,0.778,0.316,G,0,74,191
Louisville,2013,2,Luke Hancock,40,22.4,8.1,2.6,1.4,1,0.1,1,0.429,0.761,0.399,SG,0,78,200
Louisville,2014,5,Luke Hancock,36,23.9,12.3,2.6,2.2,1,0.2,1.5,0.408,0.829,0.345,SG,0,78,200
Florida State,2012,10,Luke Loucks,35,27,7.1,3.3,4.3,1.2,0.3,2.5,0.398,0.708,0.344,G,0,77,201
Virginia,2014,3,Malcolm Brogdon,37,31.4,12.7,5.4,2.7,1.2,0.1,1.4,0.413,0.875,0.37,G,0,77,215
Virginia,2015,6,Malcolm Brogdon,34,32.5,14,3.9,2.4,0.7,0.4,1.7,0.422,0.879,0.344,G,0,77,215
San Diego State,2011,6,Malcolm Thomas,37,30.4,11.4,8.1,2.3,0.5,2,2.1,0.536,0.642,0.167,PF,0,81,225
Missouri,2012,3,Marcus Denmon,35,34.6,17.7,5,2.1,1.5,0,1.2,0.46,0.896,0.407,G,0,75,185
Kansas,2011,2,Marcus Morris,38,28.3,17.2,7.6,1.6,0.8,0.6,1.8,0.57,0.688,0.342,PF,1,81,235
North Carolina,2014,19,Marcus Paige,34,35.6,17.5,3.2,4.2,1.5,0.2,2.1,0.44,0.877,0.389,G,0,73,175
North Carolina,2015,15,Marcus Paige,38,33.2,14.1,2.9,4.5,1.7,0.2,1.9,0.413,0.865,0.395,G,0,73,175
Arizona,2013,21,Mark Lyons,35,30.3,15.6,1.9,2.8,1.1,0.1,2.7,0.435,0.856,0.333,G,0,73,200
Xavier,2011,20,Mark Lyons,32,35.1,13.6,3.1,3.1,0.9,0.3,2.8,0.408,0.728,0.336,G,0,73,200
Georgetown,2013,8,Markel Starks,32,34.1,12.8,1.8,3,1.3,0.1,2,0.457,0.731,0.417,G,0,73,175
Georgetown,2012,15,Markel Starks,31,24.4,7.1,1.6,1.6,0.6,0.1,1.4,0.455,0.697,0.367,G,0,73,175
Kansas,2011,2,Markieff Morris,38,24.4,13.6,8.3,1.4,0.8,1.1,2.1,0.589,0.673,0.424,PF,1,82,245
SMU,2015,18,Markus Kennedy,24,23,11.9,6.3,1.1,1.4,0.8,1.5,0.548,0.642,0,F,0,81,245
Kentucky,2012,1,Marquis Teague,40,32.6,10,2.5,4.8,0.9,0.3,2.7,0.412,0.714,0.325,PG,1,74,189
Kansas State,2013,12,Martavious Irving,33,20.8,5.1,1.8,2.2,0.5,0.1,1.1,0.377,0.739,0.398,G,0,73,200
Northern Iowa,2015,11,Marvin Singleton,35,25,4.7,4.9,0.7,0.3,0.1,0.9,0.528,0.644,0.143,F,0,78,237
Duke,2011,3,Mason Plumlee,37,25.6,7.2,8.4,1.6,0.9,1.7,1.9,0.593,0.441,0,PF,0,83,235
Duke,2012,8,Mason Plumlee,34,28.4,11.1,9.2,1.6,0.8,1.6,2.2,0.572,0.528,0,PF,0,83,235
Duke,2013,6,Mason Plumlee,36,34.7,17.1,10,1.9,1,1.4,2.9,0.599,0.681,0,PF,1,83,235
Northern Iowa,2015,11,Matt Bohannon,35,26,5.7,1.7,0.9,0.6,0,0.4,0.406,0.769,0.391,G,0,76,195
Michigan State,2015,23,Matt Costello,39,20.4,7,5.2,0.7,0.4,1.2,0.8,0.579,0.671,0,F,0,81,245
Duke,2015,4,Matt Jones,39,21.7,6,2.3,1,0.9,0.1,0.7,0.41,0.714,0.376,G,0,77,200
Missouri,2012,3,Matt Pressey,35,24.9,6.2,3,1.5,0.8,0.1,0.9,0.401,0.679,0.347,G,0,74,195
Iowa State,2014,9,Matt Thomas,36,21.2,5.5,2.1,1.1,0.6,0.2,0.5,0.367,0.667,0.336,G,0,76,195
Washington,2011,23,Matthew Bryan-Amaning,35,28.2,15.3,8,0.7,1.1,1.5,1.6,0.546,0.619,0,F,0,81,240
Saint Mary's,2012,24,Matthew Dellavedova,33,37.5,15.5,3.3,6.4,0.8,0.1,2.9,0.446,0.857,0.355,SG,0,76,200
Maryland,2015,12,Melo Trimble,35,33.5,16.2,3.9,3,1.3,0.1,2.5,0.444,0.863,0.412,G,0,75,185
Iowa State,2014,9,Melvin Ejim,34,32.1,17.8,8.4,1.8,1.2,0.7,2.3,0.505,0.761,0.346,F,0,78,220
VCU,2014,24,Melvin Johnson,33,22.4,10.4,2.2,1.2,0.9,0.1,1.4,0.403,0.732,0.395,G,0,76,190
VCU,2015,25,Melvin Johnson,36,27.9,12.4,1.9,1.8,1,0.1,1,0.403,0.785,0.363,G,0,76,190
Syracuse,2013,16,Michael Carter-Williams,40,35.2,11.9,4.9,7.3,2.8,0.5,3.4,0.393,0.694,0.292,PG,1,78,190
Oklahoma State,2013,17,Michael Cobbins,29,27.3,6.8,5.9,0.6,0.7,1.8,1.1,0.582,0.569,0,C,0,80,230
Missouri,2012,3,Michael Dixon Jr.,35,26.7,13.5,1.8,3.3,1.2,0.1,1.6,0.487,0.879,0.368,G,0,73,200
Florida,2014,1,Michael Frazier II,39,30.6,12.4,3.5,1.1,1.1,0.2,1.2,0.461,0.842,0.447,G,0,76,194
Kentucky,2012,1,Michael Kidd-Gilchrist,40,31.1,11.9,7.4,1.9,1,0.9,2.2,0.491,0.745,0.255,SF,1,79,232
Arkansas,2015,21,Michael Qualls,36,30.2,15.9,5.3,1.7,0.9,0.5,1.7,0.436,0.775,0.333,G,0,78,210
Florida State,2012,10,Michael Snaer,35,30.4,14,3.8,1.9,1.1,0.4,2.1,0.436,0.846,0.404,G,0,77,202
Georgetown,2013,8,Mikael Hopkins,32,20.1,5.9,2.9,1.3,0.9,1.1,2,0.409,0.621,0,F,0,81,239
Georgetown,2015,22,Mikael Hopkins,33,22.2,5.1,5.8,1.3,1,1.6,1.9,0.438,0.624,0,F,0,81,239
Wisconsin,2012,14,Mike Bruesewitz,36,25.5,5.6,5.1,1.8,0.6,0.3,1.1,0.394,0.706,0.294,F,0,78,223
Wisconsin,2013,18,Mike Bruesewitz,33,28,6.4,5.3,1.8,0.9,0.3,1.5,0.401,0.691,0.283,F,0,78,223
Louisville,2011,14,Mike Marra,31,20.5,6.4,2.1,2,0.9,0.3,1.2,0.317,0.788,0.28,G,0,77,215
Saint Louis,2013,13,Mike McCall Jr.,35,29.1,9.3,2.5,2.7,1.3,0.1,1.4,0.405,0.817,0.402,G,0,72,180
Saint Louis,2014,25,Mike McCall Jr.,34,30,9.8,3.8,2.4,1.4,0.1,1.3,0.402,0.756,0.321,G,0,72,180
UNLV,2012,23,Mike Moser,35,31.4,14,10.5,2.3,1.9,1,2.9,0.45,0.78,0.331,F,0,80,211
Florida,2013,14,Mike Rosario,36,29.5,12.5,2.6,2,0.9,0,1.8,0.448,0.831,0.367,G,0,75,183
Duke,2012,8,Miles Plumlee,34,20.5,6.6,7.1,0.5,0.5,0.9,1.2,0.61,0.632,0,C,1,83,255
Michigan,2014,7,Mitch McGary,8,24.6,9.5,8.3,1.5,1.9,0.8,1.6,0.545,0.667,0,PF,1,82,255
VCU,2015,25,Mo Alie-Cox,36,25.9,7.4,5.7,0.8,0.6,1.9,1.1,0.594,0.604,0,F,0,79,250
Iowa State,2014,9,Mont Morris,36,28.1,6.8,2.6,3.7,1.3,0.2,0.8,0.43,0.847,0.406,G,0,74,170
Iowa State,2015,9,Mont Morris,34,33.9,11.9,3.4,5.2,1.9,0.4,1.1,0.507,0.753,0.395,G,0,74,170
Louisville,2014,5,Montrezl Harrell,37,29.3,14,8.4,1.2,1,1.3,1.4,0.609,0.464,0.667,PF,0,80,240
Louisville,2015,17,Montrezl Harrell,35,35.1,15.7,9.2,1.4,0.9,1.2,2,0.566,0.597,0.243,PF,1,80,240
Kansas,2014,10,Naadir Tharpe,34,29.4,8.5,2.1,5,0.7,0,2.1,0.436,0.821,0.377,G,0,71,170
Pittsburgh,2011,4,Nasir Robinson,31,24.1,9.4,4.9,1.3,0.5,0.1,1.7,0.548,0.526,0,F,0,77,255
Utah State,2011,19,Nate Bendall,31,20.3,6.5,5.8,0.4,0.4,0.3,1.1,0.485,0.745,0,F,0,81,250
Georgetown,2013,8,Nate Lubick,32,29.6,7.1,5.4,2.8,0.7,0.8,2.1,0.591,0.645,0,F,0,80,219
Texas A&M,2011,24,Nathan Walkup,33,24.3,9.4,5.5,1.3,0.8,0.1,1.2,0.502,0.714,0.367,F,0,79,210
Iowa State,2014,9,Naz Long,36,20.3,7.1,1.6,1.1,0.2,0.1,0.4,0.432,0.643,0.4,G,0,76,210
Iowa State,2015,9,Naz Long,34,27.5,10.1,2.9,2,0.8,0.1,1.4,0.449,0.755,0.391,G,0,76,210
SMU,2015,18,Nic Moore,34,34.7,14.5,2.3,5.1,1.3,0,2.6,0.42,0.889,0.416,G,0,69,170
Arizona,2014,4,Nick Johnson,38,33,16.3,4.1,2.8,1.1,0.7,1.7,0.432,0.781,0.367,SG,1,75,200
Arizona,2013,21,Nick Johnson,35,31.4,11.5,3.6,3.2,1.9,0.6,1.9,0.448,0.713,0.393,SG,0,75,200
Connecticut,2014,18,Niels Giffey,40,24.7,8.4,3.8,0.8,0.7,0.5,0.9,0.54,0.727,0.483,F,0,79,205
Wisconsin,2015,3,Nigel Hayes,40,33,12.4,6.2,2,0.9,0.4,1.3,0.497,0.744,0.396,F,0,80,235
Michigan,2013,10,Nik Stauskas,39,30.5,11,3,1.3,0.6,0.2,1.1,0.463,0.851,0.44,SG,0,78,205
Michigan,2014,7,Nik Stauskas,36,35.6,17.5,2.9,3.3,0.6,0.3,1.9,0.47,0.824,0.442,SG,1,78,205
BYU,2011,10,Noah Hartsock,37,29.7,8.6,5.9,1.6,0.6,1.6,0.9,0.498,0.828,0.433,F,0,80,230
Duke,2011,3,Nolan Smith,37,34,20.6,4.5,5.1,1.2,0.1,3.2,0.458,0.813,0.35,PG,1,74,185
UCLA,2013,24,Norman Powell,35,22.1,6.1,2.2,1.1,0.7,0.5,1.1,0.434,0.675,0.293,SG,0,76,215
UCLA,2014,20,Norman Powell,37,25.7,11.4,2.8,1.7,1.4,0.4,1,0.533,0.78,0.294,SG,0,76,215
Cincinnati,2014,15,Octavius Ellis,34,28.7,9.9,7.2,1.3,0.8,2,2.2,0.557,0.689,0,F,0,82,230
Florida State,2012,10,Okaro White,35,22.6,7.7,4.4,0.5,0.6,0.4,1.5,0.476,0.752,0.333,F,0,81,204
UNLV,2012,23,Oscar Bellfield,35,32,9.8,2.3,5.4,1.1,0.3,2.3,0.4,0.789,0.357,PG,0,74,190
Georgetown,2013,8,Otto Porter Jr.,31,35.4,16.2,7.5,2.7,1.8,0.9,1.5,0.48,0.777,0.422,SF,1,80,198
Georgetown,2012,15,Otto Porter Jr.,33,29.7,9.7,6.8,1.5,1.1,0.8,1.2,0.525,0.702,0.226,SF,0,80,198
St John's,2011,18,Paris Horne,33,28,7.9,2.9,1.6,1,0.2,1.4,0.453,0.619,0.377,G,0,75,189
Notre Dame,2015,8,Pat Connaughton,38,35.6,12.5,7.4,1.5,0.7,0.9,1.2,0.466,0.781,0.423,SG,1,77,206
Notre Dame,2013,23,Pat Connaughton,35,32.1,8.9,4.7,2.1,0.5,0.3,0.9,0.445,0.708,0.377,SG,0,77,206
Florida,2014,1,Patric Young,39,26.3,11,6.2,0.8,0.6,1.1,1.3,0.541,0.596,0,PF,0,81,240
Florida,2012,25,Patric Young,37,26.5,10.2,6.4,1.1,0.5,0.8,1.5,0.618,0.593,0,PF,0,81,240
Florida,2013,14,Patric Young,37,26.5,10.1,6.3,0.9,0.9,1.6,1.5,0.586,0.489,0,PF,0,81,240
Kansas,2014,10,Perry Ellis,35,27.8,13.5,6.7,1,0.8,0.6,1.1,0.549,0.763,0.471,F,0,80,225
Kansas,2015,10,Perry Ellis,34,28.8,13.8,6.9,1.2,0.8,0.7,1.7,0.457,0.73,0.391,F,0,80,225
Baylor,2012,9,Perry Jones,33,30.7,13.5,7.6,1.3,0.8,0.6,1.7,0.5,0.696,0.303,SF,1,83,235
Louisville,2013,2,Peyton Siva,40,31.2,10,2.4,5.7,2.3,0.2,2.7,0.404,0.867,0.288,PG,1,72,185
Louisville,2011,14,Peyton Siva,35,27.9,9.9,3.1,5.2,2,0.2,2.9,0.445,0.681,0.272,PG,0,72,185
Louisville,2012,17,Peyton Siva,38,31.7,9.1,3.2,5.6,1.7,0.1,3.4,0.402,0.739,0.246,PG,0,72,185
Oklahoma State,2013,17,Phil Forte,32,33.7,15,2.1,1.7,1.9,0.1,1.9,0.424,0.84,0.38,G,0,71,185
Missouri,2012,3,Phil Pressey,35,32.1,10.3,3.3,6.4,2.1,0.1,2.4,0.428,0.775,0.365,PG,0,71,175
Baylor,2012,9,Pierre Jackson,38,30.8,13.8,2.9,5.9,1.8,0.1,3.5,0.46,0.822,0.408,PG,0,70,176
Louisville,2011,14,Preston Knowles,34,30.1,14.6,3.9,3.1,1.9,0.2,2,0.379,0.808,0.383,G,0,73,190
Gonzaga,2015,7,Przemek Karnowski,38,24.5,10.9,5.8,1.3,0.5,1,1.8,0.622,0.504,1,C,0,85,288
Baylor,2012,9,Quincy Acy,38,29.7,12,7.4,1,0.9,1.8,1.9,0.577,0.782,0.6,SF,1,79,240
Baylor,2012,9,Quincy Miller,37,24.4,10.6,4.9,1.4,0.7,0.6,1.8,0.447,0.816,0.348,PF,1,81,210
Duke,2013,6,Quinn Cook,36,33.6,11.7,3.8,5.3,1.4,0.1,2.2,0.416,0.877,0.393,G,0,74,185
Duke,2014,8,Quinn Cook,35,29.8,11.6,2.2,4.4,1.3,0,1.6,0.432,0.827,0.371,G,0,74,185
Duke,2015,4,Quinn Cook,39,35.8,15.3,3.4,2.6,1,0,1.2,0.453,0.891,0.395,G,0,74,185
Syracuse,2013,16,Rakeem Christmas,40,20.8,5.1,4.6,0.2,0.5,1.8,0.9,0.53,0.574,0,PF,0,81,250
Syracuse,2014,14,Rakeem Christmas,34,23.6,5.8,5.1,0.7,0.5,1.9,0.8,0.613,0.726,0,PF,0,81,250
Arkansas,2015,21,Rashad Madden,36,27.2,9.6,3.7,4.6,0.8,0.1,2.3,0.424,0.862,0.377,G,0,77,182
Duke,2013,6,Rasheed Sulaimon,36,29.2,11.6,3.4,1.9,0.8,0.1,1.3,0.424,0.802,0.371,G,0,77,195
Duke,2014,8,Rasheed Sulaimon,34,25.6,9.9,2.4,2.4,0.8,0,1.1,0.402,0.768,0.41,G,0,77,195
North Carolina,2012,4,Reggie Bullock,38,25.4,8.8,5.1,1.4,0.7,0.2,1,0.428,0.727,0.382,SF,0,79,205
Miami (FL),2013,5,Reggie Johnson,26,21.3,6.7,7,0.8,0.4,0.9,2.2,0.38,0.678,0.1,C,0,82,292
Missouri,2012,3,Ricardo Ratliffe,35,26.2,13.9,7.5,0.6,0.6,1,1.6,0.693,0.691,0,F,0,80,240
Maryland,2015,12,Richaud Pack,35,25.7,5.8,3.3,1.2,0.5,0.2,0.9,0.393,0.697,0.326,G,0,75,185
Syracuse,2011,12,Rick Jackson,35,35.6,13.1,10.3,2.2,1.3,2.5,2.1,0.588,0.533,0,PF,0,81,250
Baylor,2015,16,Rico Gathers,34,29.9,11.6,11.6,0.5,1.2,1,1,0.459,0.618,0,F,0,80,275
Miami (FL),2013,5,Rion Brown,36,22.2,6.4,2,0.8,0.4,0.1,0.6,0.367,0.745,0.292,G,0,78,211
VCU,2014,24,Rob Brandenberg,35,26.6,9.6,2.1,1.5,1.2,0.3,0.9,0.398,0.8,0.369,G,0,74,190
Saint Mary's,2012,24,Rob Jones,33,33.6,15,10.8,2.3,1.6,0.6,2.2,0.467,0.643,0.276,F,0,78,240
Saint Louis,2013,13,Rob Loe,35,22.9,7,3.4,1.2,0.4,0.3,1.3,0.419,0.69,0.315,F,0,83,245
Saint Louis,2014,25,Rob Loe,34,27.7,10.3,5.7,2,0.9,1.2,1.5,0.453,0.753,0.306,F,0,83,245
Indiana,2012,16,Robert Johnson,34,27,8.9,2.9,2.3,0.9,0,2.1,0.429,0.651,0.388,G,0,75,195
Duke,2014,8,Rodney Hood,35,32.9,16.1,3.9,2.1,0.7,0.3,1.5,0.464,0.807,0.42,SG,1,80,215
Kansas State,2011,21,Rodney McGruder,34,30.6,11.1,5.9,1.5,0.7,0.2,1.4,0.439,0.71,0.408,SG,0,76,205
Kansas State,2013,12,Rodney McGruder,35,33.5,15.6,5.4,2,1.3,0.3,1.7,0.442,0.752,0.336,SG,0,76,205
Wichita State,2014,2,Ron Baker,36,29.9,13.1,3.8,3.1,1.4,0.6,1.7,0.456,0.842,0.38,G,0,76,220
Wichita State,2015,14,Ron Baker,35,32.7,14.7,4.5,2.5,1.3,0.8,1.1,0.433,0.758,0.383,G,0,76,220
Arizona,2014,4,Rondae Hollis-Jefferson,38,25.3,9.1,5.7,1.4,0.7,1.1,1.2,0.49,0.682,0.2,SF,0,79,220
Arizona,2015,5,Rondae Hollis-Jefferson,38,28.7,11.2,6.8,1.6,1.2,0.8,1.6,0.502,0.707,0.207,SF,1,79,220
Butler,2015,24,Roosevelt Jones,34,35.5,12.7,5.2,3.7,0.9,0.6,2.6,0.421,0.606,0,F,0,76,225
Connecticut,2011,9,Roscoe Smith,41,25.4,6.3,5.2,0.5,0.5,1.2,0.9,0.383,0.787,0.301,SG,0,80,215
Baylor,2014,23,Royce O'Neale,38,27.3,7.1,5.4,2.9,0.9,0.2,1.7,0.52,0.606,0.468,F,0,78,215
Baylor,2015,16,Royce O'Neale,33,32.1,10.1,5.8,3.4,1.2,0.3,1.7,0.456,0.773,0.438,F,0,78,215
Louisville,2013,2,Russ Smith,40,30.3,18.7,3.3,2.9,2.1,0.1,2.7,0.414,0.804,0.328,PG,0,72,165
Louisville,2014,5,Russ Smith,37,29.3,18.2,3.3,4.6,2,0.1,2.8,0.468,0.705,0.387,PG,1,72,165
Louisville,2012,17,Russ Smith,39,21.5,11.5,2.5,1.9,2.2,0,2.3,0.356,0.764,0.306,PG,0,72,165
Villanova,2014,6,Ryan Arcidiacono,34,31.1,9.9,2.4,3.5,1.1,0,1.4,0.395,0.703,0.345,G,0,75,195
Villanova,2015,2,Ryan Arcidiacono,36,30.4,10.1,1.7,3.6,1.1,0.1,1.3,0.394,0.813,0.372,G,0,75,195
Connecticut,2014,18,Ryan Boatright,39,32.4,12.1,3.5,3.4,1.6,0.2,1.9,0.391,0.798,0.376,G,0,72,175
Wisconsin,2012,14,Ryan Evans,36,30.5,11,6.8,1.6,0.7,0.9,1.6,0.44,0.726,0.263,F,0,78,208
Wisconsin,2013,18,Ryan Evans,35,29.1,10.1,7.3,2,0.7,0.8,1.6,0.395,0.426,0.083,F,0,78,208
Duke,2011,3,Ryan Kelly,37,20.1,6.6,3.7,0.8,0.7,1.4,0.8,0.516,0.805,0.319,PF,0,83,230
Duke,2012,8,Ryan Kelly,31,25.9,11.8,5.4,1.1,0.8,1,1.4,0.444,0.807,0.408,PF,0,83,230
Duke,2013,6,Ryan Kelly,23,28.9,12.9,5.3,1.7,0.7,1.6,1,0.453,0.812,0.422,PF,1,83,230
SMU,2015,18,Ryan Manuel,34,28.9,6.5,3.3,2.1,0.6,0.4,1.1,0.507,0.593,0.364,G,0,76,185
Oklahoma,2014,21,Ryan Spangler,33,29.2,9.6,9.3,1.4,0.5,0.9,1.2,0.584,0.686,0.273,F,0,80,234
Oklahoma,2015,13,Ryan Spangler,35,31.1,9.7,8.2,1.3,0.7,1.1,1.3,0.581,0.722,0.303,F,0,80,234
Purdue,2011,13,Ryne Smith,34,23.9,6.2,2.5,1.7,0.7,0.2,0.5,0.462,0.885,0.441,G,0,75,189
Wisconsin,2015,3,Sam Dekker,40,31,13.9,5.5,1.2,0.5,0.5,0.9,0.525,0.708,0.331,SF,1,81,230
Wisconsin,2013,18,Sam Dekker,35,22.3,9.6,3.4,1.3,0.7,0.4,1.1,0.478,0.69,0.391,SF,0,81,230
Wisconsin,2014,12,Sam Dekker,38,29.8,12.4,6.1,1.4,0.8,0.6,1.1,0.469,0.686,0.326,SF,0,81,230
Ohio State,2013,7,Sam Thompson,37,25.1,7.8,3.5,1,0.7,0.8,0.9,0.498,0.703,0.404,F,0,79,200
Ohio State,2014,22,Sam Thompson,35,24.7,7.9,2.7,0.8,0.7,0.9,0.8,0.45,0.618,0.355,F,0,79,200
Syracuse,2012,2,Scoop Jardine,37,25.2,8.9,2.4,4.9,1.4,0.1,2.3,0.474,0.551,0.379,G,0,74,195
Syracuse,2011,12,Scoop Jardine,35,32.1,12.5,2.2,5.9,1.6,0.1,2.9,0.415,0.664,0.357,G,0,74,195
Notre Dame,2011,5,Scott Martin,33,30.5,9.7,4.8,1.8,0.5,0.3,1.5,0.428,0.64,0.333,G,0,80,218
Notre Dame,2013,23,Scott Martin,18,29.7,7.9,5.9,1.3,0.7,0.4,0.7,0.45,0.632,0.463,G,0,80,218
Florida,2014,1,Scottie Wilbekin,34,34,13.1,2.4,3.6,1.6,0,1.7,0.402,0.725,0.39,G,0,74,176
Florida,2013,14,Scottie Wilbekin,35,31.9,9.1,2.9,5,1.5,0.1,2.1,0.453,0.725,0.359,G,0,74,176
Duke,2011,3,Seth Curry,37,25,9,1.8,2,1.4,0.1,0.9,0.423,0.788,0.435,SG,0,74,185
Duke,2012,8,Seth Curry,34,30.2,13.2,2.6,2.4,1.3,0.2,2,0.42,0.873,0.383,SG,0,74,185
Duke,2013,6,Seth Curry,35,32.3,17.5,2.5,1.5,0.9,0.2,1.2,0.465,0.809,0.438,SG,0,74,185
Northern Iowa,2015,11,Seth Tuttle,35,30.4,15.3,6.9,3.3,0.9,0.6,2.8,0.604,0.764,0.432,F,0,80,240
UCLA,2013,24,Shabazz Muhammad,32,30.8,17.9,5.2,0.8,0.7,0.1,1.6,0.443,0.711,0.377,SF,1,78,227
Connecticut,2011,9,Shabazz Napier,41,23.8,7.8,2.4,3,1.6,0.1,1.8,0.37,0.771,0.326,PG,0,73,175
Connecticut,2014,18,Shabazz Napier,40,35.1,18,5.9,4.9,1.8,0.3,2.9,0.429,0.87,0.405,PG,1,73,175
Miami (FL),2013,5,Shane Larkin,36,36.4,14.5,3.8,4.6,2,0.1,2.3,0.479,0.777,0.406,PG,1,71,175
Kansas State,2013,12,Shane Southwell,33,25.9,8.4,3.8,2.5,1.1,0.5,1.2,0.452,0.6,0.436,G,0,79,215
Ohio State,2013,7,Shannon Scott,37,20.9,4.9,2.8,3.8,1.7,0.3,1.2,0.408,0.627,0.333,G,0,73,185
Ohio State,2014,22,Shannon Scott,35,26.8,7.5,3.4,3.4,2,0.1,1.9,0.432,0.683,0.302,G,0,73,185
Michigan,2012,13,Shaq Goodwin,36,20.7,7.4,4.4,1.3,1.1,1.1,1.8,0.466,0.628,0,F,0,81,231
Cincinnati,2014,15,Shaquille Thomas,34,22.5,6.4,3.1,0.6,0.6,0.5,1.4,0.457,0.586,0.333,F,0,79,205
San Diego State,2014,13,Skylar Spencer,36,23.8,4.8,4.3,0.2,0.7,2.5,0.8,0.569,0.481,0,F,0,82,240
Arizona,2011,17,Solomon Hill,38,25.2,8,4.7,1.7,0.8,0.2,1.7,0.486,0.78,0.354,SF,0,79,225
Arizona,2013,21,Solomon Hill,35,33,13.4,5.3,2.7,1.1,0.6,2.2,0.458,0.766,0.39,SF,1,79,225
Arizona,2015,5,Stanley Johnson,38,28.4,13.8,6.5,1.7,1.5,0.4,2.2,0.446,0.742,0.371,SF,1,69,245
Louisville,2014,5,Stephan Van Treese,37,21.6,2.9,5.7,0.7,1,0.8,0.6,0.638,0.586,0.5,F,0,77,245
Saint Mary's,2012,24,Stephen Holt,28,32.4,10.1,4.7,3.2,1.8,0,1.6,0.497,0.767,0.375,PG,0,76,195
Notre Dame,2015,8,Steve Vasturia,38,32.5,10.1,3,1.7,1.1,0.1,1.2,0.491,0.864,0.411,G,0,77,211
Pittsburgh,2013,20,Steven Adams,32,23.4,7.2,6.3,0.6,0.7,2,1.1,0.571,0.443,0,C,1,84,255
Arizona,2014,4,T.J. McConnell,38,32.2,8.4,3.6,5.3,1.7,0.2,1.8,0.454,0.62,0.36,G,0,73,195
Arizona,2015,5,T.J. McConnell,38,30.5,10.4,3.8,6.3,2.2,0.1,2.1,0.498,0.829,0.321,G,0,73,195
Utah State,2011,19,Tai Wesley,34,29.2,14.8,8,2.1,0.8,1.1,2.2,0.599,0.711,0.625,F,0,79,240
Pittsburgh,2013,20,Talib Zanna,33,23.9,9.6,6.1,0.6,0.6,0.6,1.1,0.498,0.672,0,PF,0,81,230
Michigan,2012,13,Tarik Black,32,20.8,8.1,4.8,0.4,0.7,0.6,1.3,0.589,0.448,0,C,0,81,250
Oklahoma,2015,13,TaShawn Thomas,35,29.7,11.6,6.5,1.5,0.6,1.5,1.9,0.519,0.691,0,F,0,80,240
Baylor,2015,16,Taurean Prince,33,26.3,13.9,5.6,1.3,1.5,0.9,2,0.472,0.644,0.395,F,0,79,220
Wichita State,2014,2,Tekele Cotton,36,30.1,10.3,4,2.4,1.4,0.3,1.1,0.452,0.692,0.371,G,0,75,205
Wichita State,2015,14,Tekele Cotton,34,31.8,9.8,3.9,2.9,1.4,0.3,1.3,0.412,0.705,0.289,G,0,75,205
Louisville,2011,14,Terrence Jennings,34,23.4,9.6,5.2,0.7,0.7,1.9,1.1,0.533,0.657,0,F,0,81,220
Kentucky,2011,11,Terrence Jones,38,31.5,15.7,8.8,1.6,1.1,1.9,2,0.442,0.646,0.329,PF,0,81,255
Kentucky,2012,1,Terrence Jones,38,29.3,12.3,7.2,1.3,1.3,1.8,1.6,0.5,0.627,0.327,PF,1,81,255
Louisville,2015,17,Terry Rozier,36,35,17.1,5.6,3,2,0.2,2.2,0.411,0.79,0.306,PG,1,74,190
Kansas,2012,6,Thomas Robinson,39,31.8,17.7,11.9,1.8,1.1,0.9,2.7,0.505,0.682,0.5,PF,1,82,237
Notre Dame,2011,5,Tim Abromaitis,34,34.2,15.4,6.1,1.8,0.8,0.4,1.5,0.456,0.784,0.429,F,0,80,236
Michigan,2013,10,Tim Hardaway Jr.,38,34.8,14.5,4.7,2.4,0.7,0.4,1.9,0.437,0.694,0.374,SG,1,78,210
San Diego State,2012,22,Tim Shelton,31,24,5.2,4.6,1.6,0.5,0.3,1,0.485,0.63,0.125,F,0,79,240
Marquette,2012,11,Todd Mayo,35,21.1,7.9,2.7,1.2,0.6,0.1,1.6,0.419,0.762,0.333,G,0,75,195
New Mexico,2013,10,Tony Snell,35,31.2,12.5,2.6,2.9,0.8,0.5,2.1,0.422,0.843,0.39,SF,1,79,200
New Mexico,2012,21,Tony Snell,35,25.6,10.5,2.7,2.3,0.5,0.4,1.5,0.448,0.831,0.387,SF,0,79,200
Wichita State,2012,18,Toure' Murry,33,29.3,12.2,4.7,3.3,1.3,0.3,2.2,0.422,0.789,0.286,SF,0,77,195
Wisconsin,2015,3,Traevon Jackson,21,24.1,8.1,1.7,2.6,0.9,0.1,1.5,0.432,0.851,0.282,G,0,74,208
Wisconsin,2013,18,Traevon Jackson,35,27.8,6.9,2.5,2.8,1,0.2,2.1,0.372,0.765,0.293,G,0,74,208
Wisconsin,2014,12,Traevon Jackson,38,30.8,10.7,3.8,4,0.7,0.1,2.2,0.408,0.772,0.382,G,0,74,208
Kansas,2012,6,Travis Releford,39,30.9,8.5,4.2,1.8,1.2,0.2,0.9,0.498,0.654,0.325,G,0,78,210
Kansas,2013,3,Travis Releford,37,33.8,11.9,3.8,2.6,1.3,0.2,1.6,0.574,0.789,0.415,G,0,78,210
Michigan State,2014,11,Travis Trice,36,22.3,7.3,1.6,2.3,0.9,0.2,1,0.42,0.818,0.434,G,0,72,170
