Team,Year,Rank,Player,GP,MIN,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,Position,Drafted,Height,Weight
Saint Louis,2013,13,Cody Ellis,35,26.1,10.1,3.5,0.9,1.1,0.3,0.9,0.332,0.829,0.333,F,0,80,245
Indiana,2013,4,Cody Zeller,36,29.5,16.5,8.1,1.3,1,1.3,2.3,0.562,0.757,0,PF,1,84,240
Kansas,2012,6,Conner Teahan,39,21,5.5,2.1,1.1,0.7,0,0.9,0.364,0.839,0.336,G,0,78,212
Baylor,2014,23,Cory Jefferson,38,29,13.7,8.2,1,0.4,1.3,1.3,0.5,0.64,0.368,PF,1,81,218
Texas,2011,8,Cory Joseph,36,32.4,10.4,3.6,3,1,0.3,1.5,0.422,0.699,0.413,PG,1,75,190
Kansas State,2011,21,Curtis Kelly,25,25.4,10.5,5.5,1.6,0.8,1.3,2.6,0.532,0.535,1,F,0,80,245
San Diego State,2011,6,D.J. Gay,37,35.2,11.1,2.2,3.1,1.1,0.1,1.3,0.373,0.684,0.358,G,0,72,170
St John's,2011,18,D.J. Kennedy,32,28.7,10.4,5.6,2,1.8,0.5,1.7,0.456,0.778,0.364,SG,0,78,215
Michigan,2012,13,D.J. Stephens,36,23.6,7.6,6.6,0.7,0.9,2.6,0.7,0.629,0.662,0.361,SG,0,77,188
Georgetown,2013,8,D'Vauntes Smith-Rivera,32,25.5,8.9,3,1.4,0.8,0,1.2,0.404,0.711,0.336,G,0,75,214
Georgetown,2015,22,D'Vauntes Smith-Rivera,32,34.4,16.3,4.2,3.2,1.6,0.2,1.6,0.421,0.861,0.387,G,0,75,214
Utah,2015,19,Dakarai Tucker,31,20.2,7.2,2.4,0.6,0.4,0.3,0.8,0.437,0.818,0.36,F,0,77,195
Villanova,2014,6,Daniel Ochefu,34,21.7,5.7,6.1,1.4,0.7,1.5,1.9,0.594,0.554,0,F,0,83,245
Villanova,2015,2,Daniel Ochefu,36,24,9.2,8.5,1.5,0.9,1.4,1.8,0.644,0.692,0,F,0,83,245
Xavier,2011,20,Dante Jackson,32,35.3,7.9,3.1,2,1.3,0.2,1.3,0.361,0.721,0.329,G,0,75,195
Virginia,2015,6,Darion Atkins,33,23.9,7.6,6,0.7,0.8,1.1,1.1,0.511,0.52,0,F,0,80,234
Wichita State,2015,14,Darius Carter,35,21.4,11.4,5.4,0.5,0.4,0.6,1.1,0.523,0.645,0.571,F,0,77,245
Marquette,2012,11,Darius Johnson-Odom,34,32.9,18.3,3.5,2.7,0.9,0.1,2.4,0.447,0.764,0.385,SG,1,74,215
Kentucky,2011,11,Darius Miller,38,31,10.9,4.6,1.7,0.8,1.1,1.5,0.478,0.853,0.443,SF,0,80,225
Kentucky,2012,1,Darius Miller,40,26.1,9.9,2.8,2.1,0.8,0.3,1.5,0.474,0.797,0.376,SF,1,80,225
Villanova,2014,6,Darrun Hilliard II,34,29.1,14.3,3.6,2.6,1.3,0.5,2.2,0.486,0.718,0.414,SF,0,78,205
Villanova,2015,2,Darrun Hilliard II,35,28.8,14.3,3.1,2.1,1.8,0.3,1.2,0.44,0.796,0.387,SF,1,78,205
West Virgina,2011,22,Darryl Bryant,32,26.6,11.3,2.4,3,0.9,0,2.2,0.334,0.827,0.323,G,0,74,195
Texas A&M,2011,24,Dash Harris,33,27.5,4.2,2.6,3.1,1.2,0,2,0.268,0.562,0.167,G,0,73,170
Marquette,2013,15,Davante Gardner,35,21.5,11.5,4.8,0.9,0.7,0.6,1.6,0.585,0.835,0.2,F,0,80,290
Wichita State,2012,18,David Kyles,33,23.4,8.5,3.5,2,1,0.3,1.2,0.411,0.822,0.348,G,0,76,186
Ohio State,2011,1,David Lighty,37,32.1,12.1,4,3.3,1.5,0.5,1.6,0.468,0.627,0.429,SG,0,77,220
Texas A&M,2011,24,David Loubeau,33,26.4,11.8,5,0.4,0.3,0.4,1.5,0.498,0.737,0,F,0,80,235
UCLA,2013,24,David Wear,34,23.4,7.1,5,1,0.5,0.3,0.9,0.445,0.639,0.341,PF,0,82,230
UCLA,2014,20,David Wear,37,22.9,6.5,3.8,0.8,0.6,0.2,0.9,0.503,0.805,0.442,PF,0,82,230
West Virginia,2015,20,Daxter Miles Jr.,35,20.5,7.3,2.3,1,1.1,0.1,0.7,0.408,0.528,0.357,G,0,75,185
Connecticut,2014,18,DeAndre Daniels,38,29,13.1,6,0.4,0.7,1.4,1.5,0.469,0.787,0.417,SF,1,81,195
Iowa State,2014,9,DeAndre Kane,36,34.4,17.1,6.8,5.9,1.2,0.3,2.9,0.483,0.635,0.398,G,0,76,200
Kentucky,2011,11,DeAndre Liggins,38,31.6,8.6,4,2.5,1.2,0.7,1.4,0.424,0.648,0.391,SG,1,78,209
Florida State,2012,10,Deividas Dulkys,35,24.5,7,2.6,1.2,1.3,0.5,1.6,0.423,0.8,0.377,G,0,77,196
Utah,2015,19,Delon Wright,35,33.3,14.5,4.9,5.1,2.1,1,1.9,0.509,0.836,0.356,PG,1,77,190
Wichita State,2012,18,Demetric Williams,33,24.3,5.5,2,2.3,0.8,0.1,1.2,0.463,0.87,0.352,G,0,74,178
Notre Dame,2015,8,Demetrius Jackson,38,34.7,12.4,3.6,3.1,1.6,0.3,1.5,0.508,0.745,0.429,G,0,73,198
Michigan State,2013,9,Denzel Valentine,36,20.8,5,4.1,2.4,0.8,0.3,2,0.445,0.667,0.281,G,0,77,220
Michigan State,2014,11,Denzel Valentine,38,29.4,8,6,3.8,1,0.3,1.8,0.408,0.677,0.377,G,0,77,220
Michigan State,2015,23,Denzel Valentine,39,33.2,14.5,6.3,4.3,0.9,0.2,2.4,0.443,0.826,0.416,G,0,77,220
Northern Iowa,2015,11,Deon Mitchell,35,20.7,7.5,2,2.5,1,0.1,1.7,0.411,0.706,0.439,G,0,73,196
Michigan State,2013,9,Derrick Nix,36,27.6,9.9,6.6,1.6,1.1,0.1,1.5,0.506,0.69,0,F,0,81,270
Michigan,2014,7,Derrick Walton Jr.,37,26.7,7.9,3,2.9,0.6,0,1.5,0.429,0.793,0.41,G,0,72,185
Arizona,2011,17,Derrick Williams,38,30,19.5,8.3,1.1,1,0.7,2.6,0.595,0.746,0.568,PF,1,80,240
Ohio State,2012,7,Deshaun Thomas,39,31.4,15.9,5.4,0.9,0.4,0.2,1.2,0.52,0.748,0.345,SF,0,79,215
Ohio State,2013,7,Deshaun Thomas,37,35.4,19.8,5.9,1.3,0.5,0.3,1.4,0.445,0.834,0.344,SF,1,79,215
Kentucky,2015,1,Devin Booker,38,21.5,10,2,1.1,0.4,0.1,1,0.47,0.828,0.411,SG,1,78,205
West Virginia,2015,20,Devin Williams,34,24.9,11.6,8.1,1.3,0.8,0.3,2.2,0.446,0.702,0,F,0,81,255
North Carolina,2011,7,Dexter Strickland,37,27,7.5,3.1,2.2,1.2,0,1.5,0.456,0.686,0.25,G,0,75,185
North Carolina,2012,4,Dexter Strickland,19,24.3,7.5,2.1,2.1,1.3,0.2,1.4,0.57,0.667,0,G,0,75,185
Maryland,2015,12,Dez Wells,28,30.5,15.1,5.3,2.8,1,0.4,3.3,0.464,0.806,0.51,G,0,77,215
Oregon,2013,25,Dillon Brooks,36,28.3,11.5,4.9,1.8,0.5,0.6,2,0.456,0.825,0.337,F,0,78,225
Syracuse,2012,2,Dion Waiters,37,24.1,12.6,2.3,2.5,1.8,0.3,1.3,0.476,0.729,0.363,SG,1,76,225
Gonzaga,2015,7,Domantas Sabonis,38,21.6,9.7,7.1,0.9,0.4,0.3,1.6,0.668,0.664,0,F,0,82,231
Murray State,2012,12,Donte Poole,33,31,14,3.6,1.5,1.9,0.2,1.8,0.441,0.858,0.376,G,0,75,190
Florida,2014,1,Dorian Finney-Smith,37,25.8,8.7,6.7,2.1,0.4,0.4,1.6,0.37,0.643,0.293,F,0,80,218
Kentucky,2011,11,Doron Lamb,38,28.4,12.3,2,1.6,0.6,0.2,1.3,0.497,0.79,0.486,SG,0,76,200
Kentucky,2012,1,Doron Lamb,40,31.2,13.7,2.7,1.5,0.5,0.1,1.1,0.474,0.826,0.466,SG,1,76,200
Creighton,2012,19,Doug McDermott,35,31.9,22.9,8.2,1.1,0.2,0.1,2.3,0.601,0.796,0.486,SF,0,80,225
Creighton,2013,22,Doug McDermott,36,31.6,23.2,7.7,1.6,0.2,0.1,2.6,0.548,0.875,0.49,SF,0,80,225
Creighton,2014,16,Doug McDermott,35,33.7,26.7,7,1.6,0.2,0.1,1.8,0.526,0.864,0.449,SF,1,80,225
Michigan State,2012,5,Draymond Green,37,33.2,16.2,10.6,3.8,1.5,1,3,0.449,0.723,0.388,SF,1,79,230
New Mexico,2012,21,Drew Gordon,35,30.8,13.7,11.1,1.2,1.1,1,2.3,0.542,0.752,1,C,0,81,245
Miami (FL),2013,5,Durand Scott,33,34.6,13.1,4,2.6,1.5,0.1,2,0.453,0.752,0.353,G,0,77,203
Iowa State,2014,9,Dustin Hogue,36,29.9,11.6,8.4,1,0.8,0.6,1,0.573,0.664,0.344,F,0,78,220
Iowa State,2015,9,Dustin Hogue,34,26.2,9.3,4.9,1.1,0.7,0.3,1.6,0.557,0.55,0.431,F,0,78,220
Oregon,2013,25,Dwayne Benjamin,34,23.2,8.4,5.8,1,0.9,0.4,0.8,0.448,0.492,0.353,F,0,79,210
Saint Louis,2013,13,Dwayne Evans,35,29.6,14,7.7,1.1,1.3,0.7,1.8,0.547,0.768,0.263,F,0,78,230
Saint Louis,2014,25,Dwayne Evans,34,29.6,14,6.5,1.2,1.2,0.6,2.4,0.494,0.749,0.278,F,0,78,230
St John's,2011,18,Dwight Hardy,33,34.2,18.3,2.9,1.9,1.3,0.1,2.2,0.448,0.845,0.354,G,0,74,196
Villanova,2015,2,Dylan Ennis,36,28.1,9.9,3.7,3.5,1,0.4,1.8,0.417,0.619,0.363,G,0,74,192
Purdue,2011,13,E'Twaun Moore,34,33.9,18,5.1,3.2,1.2,0.5,1.8,0.447,0.709,0.4,SG,1,76,191
Murray State,2012,12,Ed Daniel,33,23.6,6.8,5.5,0.9,0.9,1.5,1.4,0.578,0.595,0.5,F,0,79,228
Oregon,2013,25,Elgin Cook,36,29.4,13,5.2,1.6,1.1,0.2,2.2,0.52,0.731,0.25,F,0,78,205
Gonzaga,2013,1,Elias Harris,34,27.8,14.6,7.4,1.6,1.2,0.6,1.8,0.501,0.768,0.17,SF,0,80,239
Kansas,2012,6,Elijah Johnson,39,32.2,10.2,3.2,3.5,1.4,0.1,1.8,0.43,0.696,0.338,G,0,76,195
Kansas,2013,3,Elijah Johnson,37,31,9.9,3.1,4.6,0.9,0.2,3.1,0.382,0.763,0.331,G,0,76,195
Notre Dame,2011,5,Eric Atkins,34,25.4,5.8,1.8,3.2,0.6,0,1.3,0.407,0.697,0.348,G,0,74,182
Notre Dame,2013,23,Eric Atkins,35,38.3,11.2,2.6,5.5,1.4,0.1,2.1,0.439,0.654,0.415,G,0,74,182
Florida,2012,25,Erik Murphy,34,25.9,10.5,4.5,0.9,0.5,1.1,1.3,0.485,0.814,0.421,PF,0,82,230
Florida,2013,14,Erik Murphy,36,26.4,12.2,5.5,1.4,0.6,0.7,1.4,0.516,0.784,0.453,PF,1,82,230
Florida,2011,15,Erving Walker,37,32.8,14.6,2.9,3.4,1.1,0,2.4,0.411,0.778,0.385,F,0,68,177
Florida,2012,25,Erving Walker,37,31.3,12.1,2.9,4.6,1,0,2.1,0.394,0.815,0.363,F,0,68,177
Creighton,2014,16,Ethan Wragge,35,27,10.4,3.9,0.8,0.4,0.1,0.6,0.463,0.816,0.47,F,0,79,225
Wichita State,2015,14,Evan Wessel,32,23.6,4.2,3.7,0.7,0.8,0.2,0.4,0.392,0.529,0.36,G,0,76,218
Syracuse,2012,2,Fab Melo,30,25.4,7.8,5.8,0.7,0.5,2.9,1.4,0.566,0.633,0,C,1,84,255
Cincinnati,2014,15,Farad Cobb,34,24.1,8.5,2.5,1.4,1,0.1,1.1,0.382,0.792,0.333,G,0,72,165
Vanderbilt,2011,25,Festus Ezeli,34,23.5,13,6.3,0.2,0.6,2.6,1.8,0.588,0.648,0,C,0,83,265
Vanderbilt,2012,20,Festus Ezeli,26,23.2,10.1,5.9,0.3,0.4,2,2.2,0.539,0.604,0,C,1,83,265
Wisconsin,2015,3,Frank Kaminsky III,39,33.6,18.8,8.2,2.6,0.8,1.5,1.6,0.547,0.78,0.416,C,1,84,240
Wisconsin,2014,12,Frank Kaminsky III,38,27.2,13.9,6.3,1.3,0.7,1.7,1,0.528,0.765,0.378,C,0,84,240
Kansas,2015,10,Frank Mason III,36,33.5,12.6,3.9,3.9,1.4,0.1,2.1,0.441,0.786,0.429,G,0,71,185
Wichita State,2014,2,Fred VanVleet,36,31.7,11.6,3.9,5.4,1.9,0.1,1.3,0.484,0.83,0.418,G,0,72,195
Wichita State,2015,14,Fred VanVleet,35,31.5,13.6,4.5,5.2,1.9,0.1,1.7,0.43,0.796,0.357,G,0,72,195
Arizona,2015,5,Gabe York,37,23.1,9.2,2.1,1.2,0.6,0.4,1,0.44,0.811,0.4,G,0,75,185
Wichita State,2012,18,Garrett Stutz,32,24.6,13.3,8,1.1,0.4,1,2.1,0.542,0.821,0.303,C,0,84,255
